City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,pingyin,36.2831,116.4453,1.89,54,48,3.57,CN,1673213451
321,carutapera,-1.195,-46.02,25.54,84,100,3.42,BR,1673213451
322,namatanai,-3.6667,152.4333,27.7,76,94,3.05,PG,1673213451
323,hami,42.8,93.45,-3.29,49,0,1.0,CN,1673213451
324,ha noi,21.0245,105.8412,18.0,81,70,0.49,VN,1673213413
325,khatanga,71.9667,102.5,-50.21,100,68,1.63,RU,1673213452
326,pisco,-13.7,-76.2167,23.03,78,0,4.63,PE,1673213452
327,santiago del estero,-27.7951,-64.2615,33.78,24,69,1.99,AR,1673213452
328,kloulklubed,7.0419,134.2556,26.28,80,100,6.4,PW,1673213452
329,moron,-34.6534,-58.6198,33.34,64,0,5.33,AR,1673213452
330,prince rupert,54.3161,-130.3201,6.83,83,0,4.12,CA,1673213452
331,sharjah,25.3573,55.4033,20.99,68,0,2.06,AE,1673213288
332,sand springs,36.1398,-96.1089,13.37,36,0,1.54,US,1673213452
333,anshun,26.25,105.9333,6.37,75,0,0.1,CN,1673213453
334,rush,53.5223,-6.0931,6.88,87,75,5.66,IE,1673213453
335,deputatskiy,69.3,139.9,-30.97,97,100,1.1,RU,1673213453
336,san patricio,28.017,-97.5169,23.97,54,6,5.04,US,1673213453
337,tomino,41.9877,-8.755,12.52,90,80,2.58,ES,1673213453
338,mount isa,-20.7333,139.5,24.87,94,40,3.6,AU,1673213453
339,vangaindrano,-23.35,47.6,23.87,93,100,2.44,MG,1673213454
340,tula,54.2044,37.6111,-15.19,90,99,0.81,RU,1673213244
341,enid,36.3956,-97.8784,14.09,42,0,5.14,US,1673213454
342,waddan,29.1614,16.139,11.97,79,10,3.17,LY,1673213454
343,dod ballapur,13.2919,77.5431,15.01,78,0,2.55,IN,1673213454
344,melendugno,40.2747,18.3368,10.05,87,0,1.54,IT,1673213454
345,oktyabrskoye,43.0645,44.7417,-11.92,85,100,2.0,RU,1673213454
346,cayhagan,9.6697,122.4256,24.03,88,100,5.32,PH,1673213455
347,mersing,2.4312,103.8405,24.95,88,20,2.06,MY,1673213455
348,edd,13.9297,41.6925,26.37,58,5,7.5,ER,1673213455
349,malatya,38.5,38.0,1.03,56,0,2.06,TR,1673213455
350,santa cruz,-17.8,-63.1667,31.7,55,75,3.09,BO,1673213455
351,saint-francois,46.4154,3.9054,9.69,86,100,3.09,FR,1673213455
352,olafsvik,64.8945,-23.7142,0.93,65,100,10.1,IS,1673213456
353,porirua,-41.1333,174.85,17.14,71,83,4.71,NZ,1673213456
354,nishihara,26.1842,127.7558,17.03,72,75,1.54,JP,1673213456
355,maragogi,-9.0122,-35.2225,25.63,77,96,3.66,BR,1673213456
356,laguna,38.421,-121.4238,16.71,72,40,7.2,US,1673213456
357,comodoro rivadavia,-45.8667,-67.5,27.92,28,0,7.72,AR,1673213456
358,priiskovyy,51.9333,116.6333,-26.05,98,18,1.25,RU,1673213456
359,sobolevo,54.4299,31.8996,-11.6,86,100,4.8,RU,1673213457
360,souillac,-20.5167,57.5167,26.21,78,40,4.63,MU,1673213457
361,poum,-20.2333,164.0167,26.99,70,93,7.42,NC,1673213457
362,charters towers,-20.1,146.2667,25.89,75,33,4.26,AU,1673213457
363,corinto,37.9407,22.9573,9.94,68,0,1.3,GR,1673213457
364,mazyr,52.0495,29.2456,-5.8,70,90,6.26,BY,1673213250
365,nabire,-3.3667,135.4833,24.51,90,100,2.27,ID,1673213457
366,port moresby,-9.4431,147.1797,25.27,79,100,1.46,PG,1673213164
367,sambava,-14.2667,50.1667,23.99,90,6,2.43,MG,1673213458
368,vila velha,-20.3297,-40.2925,24.97,90,100,3.6,BR,1673213458
369,isangel,-19.55,169.2667,27.52,88,94,11.42,VU,1673213458
370,zhicheng,30.2956,111.5047,10.02,49,0,1.87,CN,1673213458
371,takoradi,4.8845,-1.7554,26.92,84,27,3.57,GH,1673213458
372,raudeberg,61.9875,5.1352,5.48,51,100,6.52,NO,1673213459
373,cherskiy,68.75,161.3,-41.39,99,53,2.44,RU,1673213459
374,avera,33.194,-82.5271,18.03,60,100,2.31,US,1673213459
375,atherton,53.5237,-2.4935,5.79,89,100,0.89,GB,1673213459
376,irece,-11.3042,-41.8558,24.7,60,100,3.44,BR,1673213459
377,yerbogachen,61.2767,108.0108,-37.75,99,96,1.46,RU,1673213459
378,ambunti,-4.2365,142.8448,24.49,97,94,0.15,PG,1673213459
379,kieta,-6.2167,155.6333,27.55,81,100,2.6,PG,1673213460
380,pevek,69.7008,170.3133,-33.63,99,73,1.34,RU,1673213460
381,coffs harbour,-30.3,153.1333,20.98,73,21,2.57,AU,1673213296
382,basco,20.4487,121.9702,23.5,69,93,9.64,PH,1673213460
383,grindavik,63.8424,-22.4338,0.97,80,75,13.38,IS,1673213460
384,mountain home,43.133,-115.6912,6.71,57,75,6.69,US,1673213461
385,haradok,55.4624,29.9816,-8.98,83,100,4.96,BY,1673213461
